delta,FOB,perdas_MW,geracao_MW,considerar_fluxo,considerar_perdas,considerar_rampa,considerar_emissao,fluxo_L0_0,fluxo_L0_1,fluxo_L0_2,fluxo_L1_0,fluxo_L1_1,fluxo_L1_2,fluxo_L2_0,fluxo_L2_1,fluxo_L2_2,fluxo_L3_0,fluxo_L3_1,fluxo_L3_2,ger_GT1_0,ger_GT1_1,ger_GT1_2,ger_GT2_0,ger_GT2_1,ger_GT2_2,ger_GF2_0,ger_GF2_1,ger_GF2_2,ger_GT3_0,ger_GT3_1,ger_GT3_2,ger_GF3_0,ger_GF3_1,ger_GF3_2,execucao
0.55,3767.0,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,55
0.56,3784.4000000000005,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,56
0.57,3801.8,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,57
0.58,3819.2,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,58
0.59,3836.6000000000004,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,59
0.6,3854.0,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,60
0.61,3871.4,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,61
0.62,3888.8,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,62
0.63,3906.2,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,63
0.64,3923.6,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,64
0.65,3941.0,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,65
0.66,3958.3999999999996,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,66
0.67,3975.7999999999997,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,67
0.68,3993.2,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,68
0.69,4010.5999999999995,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,69
0.7,4028.0,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,70
0.71,4045.4,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,71
0.72,4062.8,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,72
0.73,4080.2,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,73
0.74,4097.6,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,74
0.75,4115.0,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,75
0.76,4132.4,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,76
0.77,4149.8,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,77
0.78,4167.2,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,78
0.79,4184.6,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,79
0.8,4202.0,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,80
0.81,4219.400000000001,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,81
0.82,4236.8,0,206.0,True,False,True,True,6.0,6.0,6.0,12.0,12.0,9.99999999999998,12.0,12.0,12.0,5.0,-1.99999999999999,2.00000000000001,30.0,30.0,28.000000000000004,39.0,35.0,31.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,82
