simulacao,tipo,id,tempo,valor,execucao
14VVVVV_None,fluxo,L3,2.0,-8.071136244337431,14
14VVVVV_None,deficit,B2,0.0,0.0,14
14VVVVV_None,deficit,B3,0.0,0.0,14
14VVVVV_None,deficit,B2,1.0,0.0,14
14VVVVV_None,deficit,B3,1.0,0.0,14
14VVVVV_None,deficit,B2,2.0,0.0,14
14VVVVV_None,deficit,B3,2.0,0.0,14
15VVVVV_None,FOB,total,,3129.0104022591,15
15VVVVV_None,geracao,GT1,0.0,31.565223140495902,15
15VVVVV_None,geracao,GT1,1.0,31.565223140495902,15
15VVVVV_None,geracao,GT1,2.0,28.8928128134279,15
15VVVVV_None,geracao,GT2,0.0,24.6173047731489,15
15VVVVV_None,geracao,GT2,1.0,27.6173047731489,15
15VVVVV_None,geracao,GT2,2.0,23.617304773148902,15
15VVVVV_None,geracao,GT3,0.0,17.3560816326531,15
15VVVVV_None,geracao,GT3,1.0,20.3560816326531,15
15VVVVV_None,geracao,GT3,2.0,10.3560816326531,15
15VVVVV_None,fluxo,L0,0.0,6.0,15
15VVVVV_None,fluxo,L0,1.0,6.0,15
15VVVVV_None,fluxo,L0,2.0,3.59265859212857,15
15VVVVV_None,fluxo,L1,0.0,12.0,15
15VVVVV_None,fluxo,L1,1.0,12.0,15
15VVVVV_None,fluxo,L1,2.0,12.0,15
15VVVVV_None,fluxo,L2,0.0,12.0,15
15VVVVV_None,fluxo,L2,1.0,12.0,15
15VVVVV_None,fluxo,L2,2.0,12.0,15
15VVVVV_None,fluxo,L3,0.0,-10.0,15
15VVVVV_None,fluxo,L3,1.0,-10.0,15
15VVVVV_None,fluxo,L3,2.0,-8.071136244337431,15
15VVVVV_None,deficit,B2,0.0,0.0,15
15VVVVV_None,deficit,B3,0.0,0.0,15
15VVVVV_None,deficit,B2,1.0,0.0,15
15VVVVV_None,deficit,B3,1.0,0.0,15
15VVVVV_None,deficit,B2,2.0,0.0,15
15VVVVV_None,deficit,B3,2.0,0.0,15
16VVVVV_None,FOB,total,,3152.416395367181,16
16VVVVV_None,geracao,GT1,0.0,31.565223140495902,16
16VVVVV_None,geracao,GT1,1.0,31.565223140495902,16
16VVVVV_None,geracao,GT1,2.0,28.8928128134279,16
16VVVVV_None,geracao,GT2,0.0,24.6173047731489,16
16VVVVV_None,geracao,GT2,1.0,27.6173047731489,16
16VVVVV_None,geracao,GT2,2.0,23.617304773148902,16
16VVVVV_None,geracao,GT3,0.0,17.3560816326531,16
16VVVVV_None,geracao,GT3,1.0,20.3560816326531,16
16VVVVV_None,geracao,GT3,2.0,10.3560816326531,16
16VVVVV_None,fluxo,L0,0.0,6.0,16
16VVVVV_None,fluxo,L0,1.0,6.0,16
16VVVVV_None,fluxo,L0,2.0,3.59265859212857,16
16VVVVV_None,fluxo,L1,0.0,12.0,16
16VVVVV_None,fluxo,L1,1.0,12.0,16
16VVVVV_None,fluxo,L1,2.0,12.0,16
16VVVVV_None,fluxo,L2,0.0,12.0,16
16VVVVV_None,fluxo,L2,1.0,12.0,16
16VVVVV_None,fluxo,L2,2.0,12.0,16
16VVVVV_None,fluxo,L3,0.0,-10.0,16
16VVVVV_None,fluxo,L3,1.0,-10.0,16
16VVVVV_None,fluxo,L3,2.0,-8.071136244337431,16
16VVVVV_None,deficit,B2,0.0,0.0,16
16VVVVV_None,deficit,B3,0.0,0.0,16
16VVVVV_None,deficit,B2,1.0,0.0,16
16VVVVV_None,deficit,B3,1.0,0.0,16
16VVVVV_None,deficit,B2,2.0,0.0,16
16VVVVV_None,deficit,B3,2.0,0.0,16
17VVVVV_None,FOB,total,,3175.8223884752615,17
17VVVVV_None,geracao,GT1,0.0,31.565223140495902,17
17VVVVV_None,geracao,GT1,1.0,31.565223140495902,17
17VVVVV_None,geracao,GT1,2.0,28.8928128134279,17
17VVVVV_None,geracao,GT2,0.0,24.6173047731489,17
17VVVVV_None,geracao,GT2,1.0,27.6173047731489,17
17VVVVV_None,geracao,GT2,2.0,23.617304773148902,17
17VVVVV_None,geracao,GT3,0.0,17.3560816326531,17
17VVVVV_None,geracao,GT3,1.0,20.3560816326531,17
17VVVVV_None,geracao,GT3,2.0,10.3560816326531,17
17VVVVV_None,fluxo,L0,0.0,6.0,17
